roi_list1,roi_list2,index_list2,region,side,networks,x,y,z,volume,braak,rbd_relevant,motor,arousal
7Networks_LH_Cont_Par_6,7Networks_LH_Cont_Par_6,315,cortex,L,Cont,-46.430848,-41.04848,44.878782,2649,,,,
7Networks_LH_Cont_Temp_1,7Networks_LH_Cont_Temp_1,316,cortex,L,Cont,-57.561713,-50.220307,-8.902747,3327,,,,
7Networks_LH_Cont_OFC_1,7Networks_LH_Cont_OFC_1,317,cortex,L,Cont,-26.671603,49.133099,-12.808933,2836,,,,
7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_PFCl_1,318,cortex,L,Cont,-40.986854,46.77625,-4.823172,4475,,,,
7Networks_LH_Cont_PFCl_2,7Networks_LH_Cont_PFCl_2,319,cortex,L,Cont,-43.60288,35.933692,10.137543,3065,,,,
7Networks_LH_Cont_PFCl_3,7Networks_LH_Cont_PFCl_3,320,cortex,L,Cont,-36.845206,48.132294,11.473822,3717,,,,
7Networks_LH_Cont_PFCl_4,7Networks_LH_Cont_PFCl_4,321,cortex,L,Cont,-26.855658,52.440979,13.688234,3238,,,,
7Networks_LH_Cont_PFCl_5,7Networks_LH_Cont_PFCl_5,322,cortex,L,Cont,-39.660233,36.999973,20.718456,4403,,,,
7Networks_LH_Cont_PFCl_6,7Networks_LH_Cont_PFCl_6,323,cortex,L,Cont,-42.622267,21.455399,25.899478,5773,,,,
7Networks_LH_Cont_PFCl_7,7Networks_LH_Cont_PFCl_7,324,cortex,L,Cont,-39.482856,8.489741,33.569861,1920,,,,
7Networks_LH_Cont_PFCl_8,7Networks_LH_Cont_PFCl_8,325,cortex,L,Cont,-36.414881,30.222422,34.044059,3118,,,,
7Networks_LH_Cont_PFCv_1,7Networks_LH_Cont_PFCv_1,326,cortex,L,Cont,-32.060521,15.382975,-10.291062,1372,,,,
7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_pCun_1,327,cortex,L,Cont,-9.864882,-71.821575,46.192104,2110,,,,
7Networks_LH_Cont_pCun_2,7Networks_LH_Cont_pCun_2,328,cortex,L,Cont,-6.980455,-61.242688,53.171364,2037,,,,
7Networks_LH_Cont_Cing_1,7Networks_LH_Cont_Cing_1,329,cortex,L,Cont,-3.168271,1.044937,30.133453,1143,,,,
7Networks_LH_Cont_Cing_2,7Networks_LH_Cont_Cing_2,330,cortex,L,Cont,-4.304103,-21.742601,28.775127,1000,,,,
7Networks_LH_Cont_PFCmp_1,7Networks_LH_Cont_PFCmp_1,331,cortex,L,Cont,-5.168215,23.800302,47.228763,3665,,,,
7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_1,332,cortex,L,Default,-51.881677,-2.015283,-29.530362,4224,,,,
7Networks_LH_Default_Temp_2,7Networks_LH_Default_Temp_2,333,cortex,L,Default,-59.52114,-19.478029,-19.338828,3593,,,,
7Networks_LH_Default_Temp_3,7Networks_LH_Default_Temp_3,334,cortex,L,Default,-57.368926,-37.980299,-17.781975,4399,,,,
7Networks_LH_Default_Temp_4,7Networks_LH_Default_Temp_4,335,cortex,L,Default,-54.488245,-11.051578,-14.342195,4126,,,,
7Networks_LH_Default_Temp_5,7Networks_LH_Default_Temp_5,336,cortex,L,Default,-53.395781,2.616978,-11.475074,3453,,,,
7Networks_LH_Default_Temp_6,7Networks_LH_Default_Temp_6,337,cortex,L,Default,-57.951685,-36.464391,-3.797215,4103,,,,
7Networks_LH_Default_Temp_7,7Networks_LH_Default_Temp_7,338,cortex,L,Default,-52.430431,-24.925639,-4.844958,1869,,,,
7Networks_LH_Default_Temp_8,7Networks_LH_Default_Temp_8,339,cortex,L,Default,-58.683913,-14.541394,-2.607969,1898,,,,
7Networks_LH_Default_Temp_9,7Networks_LH_Default_Temp_9,340,cortex,L,Default,-59.959241,-33.000974,6.025218,2637,,,,
7Networks_LH_Default_Temp_10,7Networks_LH_Default_Temp_10,341,cortex,L,Default,-52.482452,-42.68865,5.267535,1869,,,,
7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_1,342,cortex,L,Default,-56.235778,-48.229832,16.307606,2029,,,,
7Networks_LH_Default_Par_2,7Networks_LH_Default_Par_2,343,cortex,L,Default,-46.814083,-58.169657,19.647777,2312,,,,
7Networks_LH_Default_Par_3,7Networks_LH_Default_Par_3,344,cortex,L,Default,-39.756208,-76.081389,28.31127,3700,,,,
7Networks_LH_Default_Par_4,7Networks_LH_Default_Par_4,345,cortex,L,Default,-46.230503,-62.515347,30.114476,3710,,,,
7Networks_LH_Default_Par_5,7Networks_LH_Default_Par_5,346,cortex,L,Default,-54.185798,-52.500166,28.523707,3037,,,,
7Networks_LH_Default_Par_6,7Networks_LH_Default_Par_6,347,cortex,L,Default,-38.838218,-69.752824,41.48415,3557,,,,
7Networks_LH_Default_Par_7,7Networks_LH_Default_Par_7,348,cortex,L,Default,-45.93242,-58.332069,43.097517,2409,,,,
7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_1,349,cortex,L,Default,-32.643428,20.642412,-15.812213,3355,,,,
7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_2,350,cortex,L,Default,-34.009268,36.513538,-12.532181,1808,,,,
7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_3,351,cortex,L,Default,-5.865077,54.056116,-9.095926,2835,,,,
7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_4,352,cortex,L,Default,-5.882449,34.782372,-9.374053,3676,,,,
7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_5,353,cortex,L,Default,-45.265206,31.95898,-8.698243,2553,,,,
7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_6,354,cortex,L,Default,-28.604986,55.386386,1.955806,2539,,,,
7Networks_LH_Default_PFC_7,7Networks_LH_Default_PFC_7,355,cortex,L,Default,-46.61034,29.123615,1.932849,3115,,,,
7Networks_LH_Default_PFC_8,7Networks_LH_Default_PFC_8,356,cortex,L,Default,-7.654597,57.135959,8.608778,1999,,,,
7Networks_LH_Default_PFC_9,7Networks_LH_Default_PFC_9,357,cortex,L,Default,-7.308672,44.188264,7.378125,4263,,,,
7Networks_LH_Default_PFC_10,7Networks_LH_Default_PFC_10,358,cortex,L,Default,-50.221834,22.030915,10.917105,4058,,,,
7Networks_LH_Default_PFC_11,7Networks_LH_Default_PFC_11,359,cortex,L,Default,-16.651191,62.982369,10.773049,2678,,,,
7Networks_LH_Default_PFC_12,7Networks_LH_Default_PFC_12,360,cortex,L,Default,-6.242512,32.019376,22.697983,3642,,,,
7Networks_LH_Default_PFC_13,7Networks_LH_Default_PFC_13,361,cortex,L,Default,-6.126354,48.354824,29.052263,6330,,,,
7Networks_LH_Default_PFC_14,7Networks_LH_Default_PFC_14,362,cortex,L,Default,-14.508859,53.506492,30.077966,3765,,,,
7Networks_LH_Default_PFC_15,7Networks_LH_Default_PFC_15,363,cortex,L,Default,-22.051411,47.694138,27.285891,3346,,,,
7Networks_LH_Default_PFC_16,7Networks_LH_Default_PFC_16,364,cortex,L,Default,-26.64803,29.68764,39.472945,2194,,,,
7Networks_LH_Default_PFC_17,7Networks_LH_Default_PFC_17,365,cortex,L,Default,-38.052967,16.225957,45.062451,4307,,,,
7Networks_LH_Default_PFC_18,7Networks_LH_Default_PFC_18,366,cortex,L,Default,-9.312829,38.880357,48.804499,1905,,,,
7Networks_LH_Default_PFC_19,7Networks_LH_Default_PFC_19,367,cortex,L,Default,-19.068882,34.638116,42.099434,2128,,,,
7Networks_LH_Default_PFC_20,7Networks_LH_Default_PFC_20,368,cortex,L,Default,-40.178396,4.706298,46.61688,3289,,,,
7Networks_LH_Default_PFC_21,7Networks_LH_Default_PFC_21,369,cortex,L,Default,-29.596642,15.42807,51.324777,2234,,,,
7Networks_LH_Default_PFC_22,7Networks_LH_Default_PFC_22,370,cortex,L,Default,-21.635053,19.569553,49.412224,2003,,,,
7Networks_LH_Default_PFC_23,7Networks_LH_Default_PFC_23,371,cortex,L,Default,-11.622978,20.461203,59.63902,3089,,,,
7Networks_LH_Default_PFC_24,7Networks_LH_Default_PFC_24,372,cortex,L,Default,-7.076464,6.638432,64.167957,3270,,,,
7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_1,373,cortex,L,Default,-7.049149,-49.874636,9.02603,1375,,,,
7Networks_LH_Default_pCunPCC_2,7Networks_LH_Default_pCunPCC_2,374,cortex,L,Default,-13.123215,-60.068015,15.999065,2153,,,,
7Networks_LH_Default_pCunPCC_3,7Networks_LH_Default_pCunPCC_3,375,cortex,L,Default,-4.456325,-52.098533,20.528513,1691,,,,
7Networks_LH_Default_pCunPCC_4,7Networks_LH_Default_pCunPCC_4,376,cortex,L,Default,-5.533658,-38.8285,23.978792,679,,,,
7Networks_LH_Default_pCunPCC_5,7Networks_LH_Default_pCunPCC_5,377,cortex,L,Default,-10.432089,-67.964924,31.397938,2054,,,,
7Networks_LH_Default_pCunPCC_6,7Networks_LH_Default_pCunPCC_6,378,cortex,L,Default,-6.169966,-58.928314,31.175088,2807,,,,
7Networks_LH_Default_pCunPCC_7,7Networks_LH_Default_pCunPCC_7,379,cortex,L,Default,-7.676651,-43.761301,34.026759,2021,,,,
7Networks_LH_Default_pCunPCC_8,7Networks_LH_Default_pCunPCC_8,380,cortex,L,Default,-3.447797,-31.624012,37.755139,1792,,,,
7Networks_LH_Default_pCunPCC_9,7Networks_LH_Default_pCunPCC_9,381,cortex,L,Default,-2.432894,-15.738284,37.660927,1539,,,,
7Networks_LH_Default_pCunPCC_10,7Networks_LH_Default_pCunPCC_10,382,cortex,L,Default,-4.895415,-65.936533,43.853772,1190,,,,
7Networks_LH_Default_pCunPCC_11,7Networks_LH_Default_pCunPCC_11,383,cortex,L,Default,-7.078494,-50.250005,44.592336,3095,,,,
7Networks_RH_Vis_1,7Networks_RH_Vis_1,384,cortex,R,Vis,35.251705,-36.758418,-21.848853,2934,,,,
7Networks_RH_Vis_2,7Networks_RH_Vis_2,385,cortex,R,Vis,30.860095,-32.040556,-17.291092,2806,,,,
7Networks_RH_Vis_3,7Networks_RH_Vis_3,386,cortex,R,Vis,35.787628,-55.495023,-16.654692,2725,,,,
7Networks_RH_Vis_4,7Networks_RH_Vis_4,387,cortex,R,Vis,33.109025,-75.209489,-12.663312,3045,,,,
7Networks_RH_Vis_5,7Networks_RH_Vis_5,388,cortex,R,Vis,26.59986,-51.769271,-8.602461,3603,,,,
7Networks_RH_Vis_6,7Networks_RH_Vis_6,389,cortex,R,Vis,20.882446,-72.869103,-8.460266,4391,,,,
7Networks_RH_Vis_7,7Networks_RH_Vis_7,390,cortex,R,Vis,17.565823,-35.701742,-10.708619,1078,,,,
7Networks_RH_Vis_8,7Networks_RH_Vis_8,391,cortex,R,Vis,18.703391,-86.517981,-9.833509,2207,,,,
7Networks_RH_Vis_9,7Networks_RH_Vis_9,392,cortex,R,Vis,46.510036,-66.093507,-6.339815,4487,,,,
7Networks_RH_Vis_10,7Networks_RH_Vis_10,393,cortex,R,Vis,38.965553,-83.648361,-8.433251,2148,,,,
7Networks_RH_Vis_11,7Networks_RH_Vis_11,394,cortex,R,Vis,8.407838,-71.95267,-0.536727,2630,,,,
7Networks_RH_Vis_12,7Networks_RH_Vis_12,395,cortex,R,Vis,13.739343,-56.317718,-3.21018,2769,,,,
7Networks_RH_Vis_13,7Networks_RH_Vis_13,396,cortex,R,Vis,25.87231,-93.838901,-6.883617,3450,,,,
7Networks_RH_Vis_14,7Networks_RH_Vis_14,397,cortex,R,Vis,17.512862,-44.902476,-2.501259,1730,,,,
7Networks_RH_Vis_15,7Networks_RH_Vis_15,398,cortex,R,Vis,11.32164,-91.363218,-1.12434,5861,,,,
7Networks_RH_Vis_16,7Networks_RH_Vis_16,399,cortex,R,Vis,46.262812,-67.094588,7.058583,5082,,,,
7Networks_RH_Vis_17,7Networks_RH_Vis_17,400,cortex,R,Vis,13.035057,-44.447783,2.851146,973,,,,
7Networks_RH_Vis_18,7Networks_RH_Vis_18,401,cortex,R,Vis,34.285732,-85.653356,5.023861,3054,,,,
7Networks_RH_Vis_19,7Networks_RH_Vis_19,402,cortex,R,Vis,10.909008,-74.902201,8.86604,5048,,,,
7Networks_RH_Vis_20,7Networks_RH_Vis_20,403,cortex,R,Vis,22.081931,-59.527185,5.967709,2544,,,,
7Networks_RH_Vis_21,7Networks_RH_Vis_21,404,cortex,R,Vis,23.183106,-96.377404,7.807159,2453,,,,
7Networks_RH_Vis_22,7Networks_RH_Vis_22,405,cortex,R,Vis,41.571648,-77.247025,13.445206,4590,,,,
7Networks_RH_Vis_23,7Networks_RH_Vis_23,406,cortex,R,Vis,14.438062,-91.805645,17.745478,3764,,,,
7Networks_RH_Vis_24,7Networks_RH_Vis_24,407,cortex,R,Vis,16.227837,-66.540214,19.012325,2637,,,,
7Networks_RH_Vis_25,7Networks_RH_Vis_25,408,cortex,R,Vis,6.397375,-81.836537,21.500883,2466,,,,
7Networks_RH_Vis_26,7Networks_RH_Vis_26,409,cortex,R,Vis,27.627038,-84.511006,20.665389,3733,,,,
7Networks_RH_Vis_27,7Networks_RH_Vis_27,410,cortex,R,Vis,34.987015,-76.32115,24.18676,2401,,,,
7Networks_RH_Vis_28,7Networks_RH_Vis_28,411,cortex,R,Vis,16.370766,-75.165792,33.484881,2826,,,,
7Networks_RH_Vis_29,7Networks_RH_Vis_29,412,cortex,R,Vis,18.799772,-83.076987,35.965771,3410,,,,
7Networks_RH_Vis_30,7Networks_RH_Vis_30,413,cortex,R,Vis,27.118284,-73.868188,38.070369,2551,,,,
7Networks_RH_SomMot_1,7Networks_RH_SomMot_1,414,cortex,R,SomMot,53.412573,-0.142202,-4.738419,3905,,,,
7Networks_RH_SomMot_2,7Networks_RH_SomMot_2,415,cortex,R,SomMot,60.265487,-22.066543,1.284229,3220,,,,
7Networks_RH_SomMot_3,7Networks_RH_SomMot_3,416,cortex,R,SomMot,53.713166,-16.495229,6.790221,3460,,,,
7Networks_RH_SomMot_4,7Networks_RH_SomMot_4,417,cortex,R,SomMot,41.264244,-16.698222,1.803041,1224,,,,
7Networks_RH_SomMot_5,7Networks_RH_SomMot_5,418,cortex,R,SomMot,38.351444,-6.548187,12.651326,967,,,,
7Networks_RH_SomMot_6,7Networks_RH_SomMot_6,419,cortex,R,SomMot,35.87966,-20.013992,12.959327,832,,,,
7Networks_RH_SomMot_7,7Networks_RH_SomMot_7,420,cortex,R,SomMot,59.820864,-27.527691,12.315919,2511,,,,
7Networks_RH_SomMot_8,7Networks_RH_SomMot_8,421,cortex,R,SomMot,60.280989,-36.90347,13.292095,2017,,,,
7Networks_RH_SomMot_9,7Networks_RH_SomMot_9,422,cortex,R,SomMot,41.108434,-12.620694,18.069325,858,,,,
7Networks_RH_SomMot_10,7Networks_RH_SomMot_10,423,cortex,R,SomMot,42.153609,-28.871367,18.176473,1987,,,,
7Networks_RH_SomMot_11,7Networks_RH_SomMot_11,424,cortex,R,SomMot,50.109539,-11.098916,14.476703,1161,,,,
7Networks_RH_SomMot_12,7Networks_RH_SomMot_12,425,cortex,R,SomMot,57.391888,-0.315598,10.817354,2054,,,,
7Networks_RH_SomMot_13,7Networks_RH_SomMot_13,426,cortex,R,SomMot,49.188903,-21.529051,19.149807,1355,,,,
7Networks_RH_SomMot_14,7Networks_RH_SomMot_14,427,cortex,R,SomMot,60.82904,-12.26689,16.372525,1396,,,,
7Networks_RH_SomMot_15,7Networks_RH_SomMot_15,428,cortex,R,SomMot,58.5637,4.292891,29.40592,1257,,,,
7Networks_RH_SomMot_16,7Networks_RH_SomMot_16,429,cortex,R,SomMot,57.335481,-6.764299,26.836693,3751,,,,
7Networks_RH_SomMot_17,7Networks_RH_SomMot_17,430,cortex,R,SomMot,59.57334,-15.799216,31.165486,1974,,,,
7Networks_RH_SomMot_18,7Networks_RH_SomMot_18,431,cortex,R,SomMot,49.237935,-7.420007,35.253792,2033,,,,
7Networks_RH_SomMot_19,7Networks_RH_SomMot_19,432,cortex,R,SomMot,54.063317,-18.238871,40.546952,1090,,,,
7Networks_RH_SomMot_20,7Networks_RH_SomMot_20,433,cortex,R,SomMot,9.869735,-15.493812,41.859813,1375,,,,
7Networks_RH_SomMot_21,7Networks_RH_SomMot_21,434,cortex,R,SomMot,50.208183,-14.320459,45.997614,1435,,,,
7Networks_RH_SomMot_22,7Networks_RH_SomMot_22,435,cortex,R,SomMot,42.940419,-10.769946,45.542156,1822,,,,
7Networks_RH_SomMot_23,7Networks_RH_SomMot_23,436,cortex,R,SomMot,46.633354,-25.463642,52.793755,2608,,,,
7Networks_RH_SomMot_24,7Networks_RH_SomMot_24,437,cortex,R,SomMot,8.018089,-8.441152,49.797057,3085,,,,
7Networks_RH_SomMot_25,7Networks_RH_SomMot_25,438,cortex,R,SomMot,40.362453,-21.464716,50.335258,1491,,,,
7Networks_RH_SomMot_26,7Networks_RH_SomMot_26,439,cortex,R,SomMot,34.456062,-18.582128,58.85463,3115,,,,
7Networks_RH_SomMot_27,7Networks_RH_SomMot_27,440,cortex,R,SomMot,33.126482,-34.028314,59.288644,1377,,,,
7Networks_RH_SomMot_28,7Networks_RH_SomMot_28,441,cortex,R,SomMot,30.843492,-40.685374,58.632125,1917,,,,
7Networks_RH_SomMot_29,7Networks_RH_SomMot_29,442,cortex,R,SomMot,33.076653,-27.774327,57.979893,1577,,,,
7Networks_RH_SomMot_30,7Networks_RH_SomMot_30,443,cortex,R,SomMot,5.349953,-24.310275,56.38556,2239,,,,
7Networks_RH_SomMot_31,7Networks_RH_SomMot_31,444,cortex,R,SomMot,26.720946,-11.417304,62.170894,2031,,,,
7Networks_RH_SomMot_32,7Networks_RH_SomMot_32,445,cortex,R,SomMot,10.27198,-41.024358,65.138924,2054,,,,
7Networks_RH_SomMot_33,7Networks_RH_SomMot_33,446,cortex,R,SomMot,20.315374,-25.386765,62.760219,999,,,,
7Networks_RH_SomMot_34,7Networks_RH_SomMot_34,447,cortex,R,SomMot,20.778733,-30.308039,63.567587,1062,,,,
7Networks_RH_SomMot_35,7Networks_RH_SomMot_35,448,cortex,R,SomMot,22.762181,-35.476787,67.167312,1246,,,,
7Networks_RH_SomMot_36,7Networks_RH_SomMot_36,449,cortex,R,SomMot,14.174788,-10.08022,69.34586,1796,,,,
7Networks_RH_SomMot_37,7Networks_RH_SomMot_37,450,cortex,R,SomMot,15.386821,-47.342124,68.427384,1955,,,,
7Networks_RH_SomMot_38,7Networks_RH_SomMot_38,451,cortex,R,SomMot,5.485554,-24.189229,68.180419,2136,,,,
7Networks_RH_SomMot_39,7Networks_RH_SomMot_39,452,cortex,R,SomMot,14.689132,-21.763062,70.773783,2202,,,,
7Networks_RH_SomMot_40,7Networks_RH_SomMot_40,453,cortex,R,SomMot,12.24964,-34.823056,72.689658,1156,,,,
7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_1,454,cortex,R,DorsAttn,47.494497,-50.26444,-15.321684,5818,,,,
7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_2,455,cortex,R,DorsAttn,55.081301,-55.546534,1.267018,2743,,,,
7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_3,456,cortex,R,DorsAttn,49.856934,-56.242831,11.957641,2663,,,,
7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_4,457,cortex,R,DorsAttn,42.433064,-73.896708,30.814773,3382,,,,
7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_Post_5,458,cortex,R,DorsAttn,30.633821,-67.237989,34.583038,2181,,,,
7Networks_RH_DorsAttn_Post_6,7Networks_RH_DorsAttn_Post_6,459,cortex,R,DorsAttn,54.544286,-24.89073,41.393334,1327,,,,
7Networks_RH_DorsAttn_Post_7,7Networks_RH_DorsAttn_Post_7,460,cortex,R,DorsAttn,16.393377,-72.59055,47.032047,1054,,,,
7Networks_RH_DorsAttn_Post_8,7Networks_RH_DorsAttn_Post_8,461,cortex,R,DorsAttn,40.32984,-38.360377,43.470862,1789,,,,
7Networks_RH_DorsAttn_Post_9,7Networks_RH_DorsAttn_Post_9,462,cortex,R,DorsAttn,44.84524,-28.360271,42.513251,1699,,,,
7Networks_RH_DorsAttn_Post_10,7Networks_RH_DorsAttn_Post_10,463,cortex,R,DorsAttn,28.576507,-61.123051,48.662812,1716,,,,
7Networks_RH_DorsAttn_Post_11,7Networks_RH_DorsAttn_Post_11,464,cortex,R,DorsAttn,35.793119,-45.551138,44.788534,2379,,,,
7Networks_RH_DorsAttn_Post_12,7Networks_RH_DorsAttn_Post_12,465,cortex,R,DorsAttn,20.699654,-66.009545,52.91186,2962,,,,
7Networks_RH_DorsAttn_Post_13,7Networks_RH_DorsAttn_Post_13,466,cortex,R,DorsAttn,37.151616,-36.80364,48.649441,1757,,,,
7Networks_RH_DorsAttn_Post_14,7Networks_RH_DorsAttn_Post_14,467,cortex,R,DorsAttn,32.620486,-50.180372,51.174049,3113,,,,
7Networks_RH_DorsAttn_Post_15,7Networks_RH_DorsAttn_Post_15,468,cortex,R,DorsAttn,9.564914,-67.03079,52.898806,2235,,,,
7Networks_RH_DorsAttn_Post_16,7Networks_RH_DorsAttn_Post_16,469,cortex,R,DorsAttn,25.985875,-55.74425,58.448246,3204,,,,
7Networks_RH_DorsAttn_Post_17,7Networks_RH_DorsAttn_Post_17,470,cortex,R,DorsAttn,7.875925,-53.8135,58.603773,4108,,,,
7Networks_RH_DorsAttn_Post_18,7Networks_RH_DorsAttn_Post_18,471,cortex,R,DorsAttn,13.900612,-60.293739,60.783391,2070,,,,
7Networks_RH_DorsAttn_Post_19,7Networks_RH_DorsAttn_Post_19,472,cortex,R,DorsAttn,24.398309,-48.220164,63.916574,2890,,,,
7Networks_RH_DorsAttn_FEF_1,7Networks_RH_DorsAttn_FEF_1,473,cortex,R,DorsAttn,38.528561,-3.214868,50.904784,2588,,,,
7Networks_RH_DorsAttn_FEF_2,7Networks_RH_DorsAttn_FEF_2,474,cortex,R,DorsAttn,27.046515,-3.05684,53.325289,2385,,,,
7Networks_RH_DorsAttn_FEF_3,7Networks_RH_DorsAttn_FEF_3,475,cortex,R,DorsAttn,21.319122,-3.991898,63.216754,1273,,,,
7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_PrCv_1,476,cortex,R,DorsAttn,49.452173,7.762169,25.156466,3134,,,,
7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_1,477,cortex,R,SalVentAttn,54.882543,-47.987556,9.351047,2037,,,,
7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_TempOccPar_2,478,cortex,R,SalVentAttn,51.999023,-42.643433,13.316433,1460,,,,
7Networks_RH_SalVentAttn_TempOccPar_3,7Networks_RH_SalVentAttn_TempOccPar_3,479,cortex,R,SalVentAttn,56.764198,-43.125784,22.675902,1438,,,,
7Networks_RH_SalVentAttn_TempOccPar_4,7Networks_RH_SalVentAttn_TempOccPar_4,480,cortex,R,SalVentAttn,56.398879,-33.049157,24.772329,2755,,,,
7Networks_RH_SalVentAttn_TempOccPar_5,7Networks_RH_SalVentAttn_TempOccPar_5,481,cortex,R,SalVentAttn,57.875823,-22.320578,24.754605,2411,,,,
7Networks_RH_SalVentAttn_TempOccPar_6,7Networks_RH_SalVentAttn_TempOccPar_6,482,cortex,R,SalVentAttn,59.645908,-30.234012,36.466051,2410,,,,
7Networks_RH_SalVentAttn_TempOccPar_7,7Networks_RH_SalVentAttn_TempOccPar_7,483,cortex,R,SalVentAttn,56.034536,-41.994846,36.306428,2719,,,,
7Networks_RH_SalVentAttn_PrC_1,7Networks_RH_SalVentAttn_PrC_1,484,cortex,R,SalVentAttn,48.243604,2.928549,39.593037,2561,,,,
7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_FrOperIns_1,485,cortex,R,SalVentAttn,39.213057,5.465085,-17.569565,2269,,,,
7Networks_RH_SalVentAttn_FrOperIns_2,7Networks_RH_SalVentAttn_FrOperIns_2,486,cortex,R,SalVentAttn,39.658119,9.942144,-5.604713,2104,,,,
7Networks_RH_SalVentAttn_FrOperIns_3,7Networks_RH_SalVentAttn_FrOperIns_3,487,cortex,R,SalVentAttn,40.303522,-6.364203,-8.011022,2053,,,,
7Networks_RH_SalVentAttn_FrOperIns_4,7Networks_RH_SalVentAttn_FrOperIns_4,488,cortex,R,SalVentAttn,39.386513,2.601228,2.364441,1384,,,,
7Networks_RH_SalVentAttn_FrOperIns_5,7Networks_RH_SalVentAttn_FrOperIns_5,489,cortex,R,SalVentAttn,37.274558,22.495904,5.190173,3487,,,,
7Networks_RH_SalVentAttn_FrOperIns_6,7Networks_RH_SalVentAttn_FrOperIns_6,490,cortex,R,SalVentAttn,38.101104,5.788567,10.858131,1230,,,,
7Networks_RH_SalVentAttn_FrOperIns_7,7Networks_RH_SalVentAttn_FrOperIns_7,491,cortex,R,SalVentAttn,49.492595,5.357218,4.808006,2449,,,,
7Networks_RH_SalVentAttn_FrOperIns_8,7Networks_RH_SalVentAttn_FrOperIns_8,492,cortex,R,SalVentAttn,52.629033,12.502591,12.324283,2565,,,,
7Networks_RH_SalVentAttn_PFCl_1,7Networks_RH_SalVentAttn_PFCl_1,493,cortex,R,SalVentAttn,32.398763,42.897544,25.616167,5188,,,,
7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_1,494,cortex,R,SalVentAttn,7.271304,16.235051,36.33049,4518,,,,
7Networks_RH_SalVentAttn_Med_2,7Networks_RH_SalVentAttn_Med_2,495,cortex,R,SalVentAttn,6.870458,0.380977,41.883922,3572,,,,
7Networks_RH_SalVentAttn_Med_3,7Networks_RH_SalVentAttn_Med_3,496,cortex,R,SalVentAttn,10.862871,-31.153339,42.004201,1971,,,,
7Networks_RH_SalVentAttn_Med_4,7Networks_RH_SalVentAttn_Med_4,497,cortex,R,SalVentAttn,6.820002,9.667658,54.399095,1775,,,,
7Networks_RH_SalVentAttn_Med_5,7Networks_RH_SalVentAttn_Med_5,498,cortex,R,SalVentAttn,11.160546,-43.278329,52.262064,1357,,,,
7Networks_RH_SalVentAttn_Med_6,7Networks_RH_SalVentAttn_Med_6,499,cortex,R,SalVentAttn,11.553346,-30.759888,48.406104,1497,,,,
7Networks_RH_SalVentAttn_Med_7,7Networks_RH_SalVentAttn_Med_7,500,cortex,R,SalVentAttn,6.823871,-3.834321,64.063719,2485,,,,
7Networks_RH_SalVentAttn_Med_8,7Networks_RH_SalVentAttn_Med_8,501,cortex,R,SalVentAttn,14.639178,3.505147,67.750608,1314,,,,
7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_OFC_1,502,cortex,R,Limbic,13.178445,19.964661,-19.7053,2539,,,,
7Networks_RH_Limbic_OFC_2,7Networks_RH_Limbic_OFC_2,503,cortex,R,Limbic,22.863285,23.949494,-18.512008,2823,,,,
7Networks_RH_Limbic_OFC_3,7Networks_RH_Limbic_OFC_3,504,cortex,R,Limbic,8.314161,43.744453,-22.50215,2986,,,,
7Networks_RH_Limbic_OFC_4,7Networks_RH_Limbic_OFC_4,505,cortex,R,Limbic,20.159297,44.461886,-17.160891,1845,,,,
7Networks_RH_Limbic_OFC_5,7Networks_RH_Limbic_OFC_5,506,cortex,R,Limbic,4.923859,17.716858,-19.676647,2482,,,,
7Networks_RH_Limbic_OFC_6,7Networks_RH_Limbic_OFC_6,507,cortex,R,Limbic,9.329273,61.325559,-13.214411,2598,,,,
7Networks_RH_Limbic_TempPole_1,7Networks_RH_Limbic_TempPole_1,508,cortex,R,Limbic,28.680105,-2.212003,-38.17499,5576,,,,
7Networks_RH_Limbic_TempPole_2,7Networks_RH_Limbic_TempPole_2,509,cortex,R,Limbic,49.797414,-8.567426,-36.050448,4643,,,,
