roi_list1,roi_list2,index_list2,region,side,networks,x,y,z,volume,braak,rbd_relevant,motor,arousal
MG_r,MG_r,17,diencephalon,R,,15.3333,-28.0476,-2.53968,63,,,,
Sp_v,,,subcortex,M,,0.358064516,-41.94516129,-68.94193548,,,,,
Sp_d,,,subcortex,M,,0.118694362,-48.41543027,-67.54005935,,,,,
L-Accumbens-area,Left-Accumbens-area,90,subcortex,L,,-8.2511,10.788,-7.3991,1010,,,,
L-Amygdala,Left-Amygdala,91,subcortex,L,,-23.706,-2.5469,-20.649,2315,,,,
L-Hippocampus,Left-Hippocampus,96,subcortex,L,,-24.436,-22.015,-14.5,5329,,,,
L-Pallidum,Left-Pallidum,99,subcortex,L,,-20.149,-5.6938,-1.0445,2137,,,,
L-Putamen,Left-Putamen,100,subcortex,L,,-25.394,0.44851,0.3466,7576,,,,
L-Caudate,Left-Caudate,92,subcortex,L,,-12.906,8.4539,10.124,5398,,,,
L-Thalamus-Proper,Left-Thalamus-Proper*,101,subcortex,L,,-11.373,-19.314,6.5644,9968,,,,
L-Cereb-Ctx,Left-Cerebellum-Cortex,93,subcortex,L,,NaN,NaN,NaN,72932,,,,
R-Thalamus-Proper,Right-Thalamus-Proper*,114,subcortex,R,,11.767,-17.389,6.5246,10380,,,,
R-Caudate,Right-Caudate,105,subcortex,R,,13.666,9.8936,9.9944,5518,,,,
R-Putamen,Right-Putamen,113,subcortex,R,,24.602,2.8788,-1.6282,7363,,,,
R-Pallidum,Right-Pallidum,112,subcortex,R,,21.152,-4.2456,-1.0409,2378,,,,
R-Hippocampus,Right-Hippocampus,109,subcortex,R,,26.132,-21.716,-13.724,5238,,,,
R-Amygdala,Right-Amygdala,104,subcortex,R,,23.445,-1.5834,-20.571,2543,,,,
R-Accumbens-area,Right-Accumbens-area,103,subcortex,R,,12.271,18.57,-17.167,1056,,,,
R-Cereb-Ctx,Right-Cerebellum-Cortex,106,subcortex,R,,NaN,NaN,NaN,70859,,,,
7Networks_LH_Vis_1,7Networks_LH_Vis_1,184,cortex,L,Vis,-33.01671,-40.666262,-20.108519,2797,,,,
7Networks_LH_Vis_2,7Networks_LH_Vis_2,185,cortex,L,Vis,-30.189314,-33.674979,-17.019274,3344,,,,
7Networks_LH_Vis_3,7Networks_LH_Vis_3,186,cortex,L,Vis,-33.816113,-61.94412,-15.734926,2494,,,,
7Networks_LH_Vis_4,7Networks_LH_Vis_4,187,cortex,L,Vis,-25.135867,-54.236794,-7.8282,3169,,,,
7Networks_LH_Vis_5,7Networks_LH_Vis_5,188,cortex,L,Vis,-21.537252,-74.296886,-9.383909,3356,,,,
7Networks_LH_Vis_6,7Networks_LH_Vis_6,189,cortex,L,Vis,-31.138657,-82.318249,-13.623059,2827,,,,
7Networks_LH_Vis_7,7Networks_LH_Vis_7,190,cortex,L,Vis,-16.756229,-38.206279,-10.159268,1483,,,,
7Networks_LH_Vis_8,7Networks_LH_Vis_8,191,cortex,L,Vis,-41.944076,-72.506899,-7.496763,3737,,,,
7Networks_LH_Vis_9,7Networks_LH_Vis_9,192,cortex,L,Vis,-14.281058,-87.614426,-11.789189,2637,,,,
7Networks_LH_Vis_10,7Networks_LH_Vis_10,193,cortex,L,Vis,-13.420459,-61.577599,-4.043707,2175,,,,
7Networks_LH_Vis_11,7Networks_LH_Vis_11,194,cortex,L,Vis,-6.959566,-74.95243,-2.50914,2467,,,,
7Networks_LH_Vis_12,7Networks_LH_Vis_12,195,cortex,L,Vis,-23.642535,-95.230906,-8.616393,4236,,,,
7Networks_LH_Vis_13,7Networks_LH_Vis_13,196,cortex,L,Vis,-12.541885,-42.208284,-3.662206,946,,,,
7Networks_LH_Vis_14,7Networks_LH_Vis_14,197,cortex,L,Vis,-36.617679,-86.7046,-1.854024,3087,,,,
7Networks_LH_Vis_15,7Networks_LH_Vis_15,198,cortex,L,Vis,-10.316175,-96.151613,-4.071397,4087,,,,
7Networks_LH_Vis_16,7Networks_LH_Vis_16,199,cortex,L,Vis,-15.314824,-52.309018,-0.48813,1617,,,,
7Networks_LH_Vis_17,7Networks_LH_Vis_17,200,cortex,L,Vis,-43.95909,-73.904616,5.30809,3440,,,,
7Networks_LH_Vis_18,7Networks_LH_Vis_18,201,cortex,L,Vis,-5.902035,-87.34977,1.17758,3324,,,,
7Networks_LH_Vis_19,7Networks_LH_Vis_19,202,cortex,L,Vis,-24.022328,-94.296507,5.977911,4720,,,,
7Networks_LH_Vis_20,7Networks_LH_Vis_20,203,cortex,L,Vis,-11.056915,-47.808839,3.769009,970,,,,
